fancyname,company,purchases,ads,sharesinfo,shareslocation,unrestrictedinternet,usersinteract,game,age_rating,Parentalguidance,Downloads,categorygame,low_price_item,top_price_item,price,paidapp,rating,numberreviews,cleaned_numberReviews
League of Angels-Paradise Land,gtarcade,1.0,0.0,0.0,0.0,0.0,1.0,1,12+,0.0,1000000.0,role playing,2.09,109.99,free,0.0,4.4,"119,935",119935
Death Race ? - Offline Games Killer Car Shooting,genera games,1.0,1.0,0.0,0.0,0.0,0.0,1,16+,0.0,10000000.0,action,3.62,108.89,free,0.0,4.2,"151,605",151605
Clone Evolution: Cyber War-Borderlands Fantasy,feelingtouch hk,1.0,0.0,0.0,0.0,0.0,1.0,1,12+,0.0,1000000.0,role playing,5.49,109.99,free,0.0,4.2,"36,631",36631
Roll the Ball: Hidden Path,bitmango,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,5000000.0,puzzle,0.99,19.99,free,0.0,4.6,"21,323",21323
Age of Civilizations Africa Li,lukasz jakowski,0.0,0.0,0.0,0.0,0.0,0.0,1,everyone,0.0,100000.0,strategy,,,free,0.0,4.1,"2,288",2288
Atomas,sirnic,1.0,1.0,0.0,0.0,0.0,1.0,1,everyone,0.0,5000000.0,casual,1.19,4.49,free,0.0,4.7,"287,153",287153
MORTAL KOMBAT,warner bros. international enterprises,1.0,0.0,0.0,0.0,0.0,0.0,1,18+,0.0,50000000.0,action,2.09,109.99,free,0.0,4.2,"3,682,793",3682793
The Aether: Life as a God,hosted games,1.0,1.0,0.0,0.0,0.0,0.0,1,12+,0.0,100000.0,role playing,3.19,3.19,free,0.0,3.7,"2,341",2341
Energy Wars : Green Revolution,gz,1.0,0.0,0.0,0.0,0.0,0.0,1,12+,0.0,100000.0,strategy,2.00,5.99,free,0.0,4.3,"2,102",2102
Delicious - Emily's Miracle of Life,gamehouse,1.0,0.0,0.0,0.0,0.0,0.0,1,everyone,0.0,10000000.0,casual,1.99,89.99,free,0.0,4.1,"78,318",78318
Wordfeud Free,bertheussen it,1.0,1.0,0.0,0.0,0.0,1.0,1,everyone,0.0,10000000.0,word,,,free,0.0,4.4,"591,765",591765
Word Search,melimots,0.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,50000000.0,word,,,free,0.0,4.5,"377,607",377607
Feudfraud - Wordfeud helper,ieniemienie productions,0.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,100000.0,puzzle,,,free,0.0,3.4,"1,279",1279
Dunk Hoop,ketchapp,0.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,1000000.0,sports,,,free,0.0,3.9,"6,392",6392
Castle Clash: Brave Squads,igg.com,1.0,1.0,0.0,0.0,0.0,1.0,1,7+,0.0,50000000.0,strategy,0.99,75.25,free,0.0,4.1,"4,681,799",4681799
Weave the Line,lion studios,1.0,1.0,0.0,0.0,0.0,0.0,1,12+,0.0,5000000.0,puzzle,0.99,2.99,free,0.0,3.8,"12,965",12965
