purchases,ads,sharesinfo,shareslocation,usersinteract,age_rating,Parentalguidance,paidapp,Category2,Editors Choice,CompanyIsExperienced,Install per Avg,Rating3
1,1,1,0,0,18+,0,1,Action,1,1, 1.52 ,4.4
1,1,0,0,0,everyone,0,0,Simulation,0,1, 0.10 ,3.6
1,1,0,0,0,everyone,0,0,Simulation,0,0, 0.03 ,3.7
1,1,0,0,0,everyone,0,0,Puzzle,0,1, 1.66 ,4.6
1,1,0,0,0,everyone,0,0,Word,0,1, 1.72 ,4.2
1,1,0,0,1,7+,0,0,Strategy,0,0, 0.63 ,4.3
1,1,0,0,0,everyone,0,0,Trivia,0,0, 0.50 ,4.4
1,1,0,0,0,18+,0,0,Simulation,0,0, 0.87 ,4.7
1,1,0,0,0,everyone,0,0,Casual,0,1, 8.06 ,4.3
1,0,1,1,1,everyone,0,0,Adventure,1,1, 24.15 ,4.1
1,1,0,0,1,everyone,0,0,Puzzle,0,1, 0.28 ,4.4
0,0,0,0,0,everyone,0,0,Music,0,1, 0.62 ,3.7
0,0,0,0,0,12+,0,0,Trivia,0,1, 0.59 ,4.4
1,0,0,0,1,7+,0,0,Strategy,1,1, 24.11 ,4.2
1,0,0,0,1,7+,0,0,Strategy,1,1, 17.02 ,4.5
1,1,0,0,0,12+,0,0,Simulation,0,1, 0.23 ,4.5
1,1,0,0,0,everyone,0,0,Puzzle,0,0, 0.80 ,4.4
1,1,0,0,0,everyone,0,0,Board,0,1, 1.12 ,4.3
1,1,0,0,0,everyone,0,0,Puzzle,0,1, 0.08 ,4.2
1,1,0,0,0,12+,0,0,Arcade,0,1, 7.93 ,4.1
1,1,0,0,0,everyone,0,0,Puzzle,0,0, 1.20 ,4
1,1,0,0,0,everyone,0,0,Card,0,1, 2.38 ,4.2
1,1,0,0,0,12+,0,0,Casino,0,1, 3.49 ,4.5
1,1,0,1,1,everyone,0,0,Simulation,1,1, 3.18 ,4.2
0,1,0,0,0,12+,0,0,Board,0,1, 0.09 ,4.4
1,1,0,0,0,everyone,0,0,Arcade,0,1, 0.02 ,3.8
1,1,0,0,0,everyone,0,0,Board,0,1, 0.08 ,4.6
0,1,0,0,0,7+,0,0,Casual,0,0, 6.79 ,4.3
1,1,0,0,0,everyone,0,0,Board,0,1, 0.89 ,4.6
0,1,0,0,0,everyone,0,0,Puzzle,0,1, 0.13 ,3.3
1,1,0,0,0,18+,0,0,Action,0,1, 0.06 ,4.6
1,1,0,0,0,everyone,0,0,Arcade,0,1, 4.82 ,3.9
1,0,1,0,1,everyone,0,0,Casual,0,1, 29.21 ,4.6
1,0,0,0,1,everyone,0,0,Trivia,0,0, 0.51 ,3.3
1,1,0,0,0,everyone,0,0,Puzzle,0,1, 5.39 ,4
1,1,0,0,0,everyone,0,0,Board,0,0, 0.60 ,4.6
1,1,0,0,0,everyone,0,0,Puzzle,0,1, 4.73 ,4.2
0,1,0,0,0,everyone,0,0,Trivia,0,0, 0.21 ,4.2
0,1,0,0,0,everyone,0,0,Puzzle,0,0, 1.13 ,4.5
0,1,0,0,0,everyone,0,0,Puzzle,0,1, 3.69 ,4.5
1,1,0,0,0,everyone,0,0,Card,0,1, 0.26 ,4.5
0,1,0,0,0,everyone,0,0,Trivia,0,1, 0.03 ,4.4
1,1,0,0,0,everyone,0,0,Educational,0,1, 0.08 ,4.2
1,1,0,0,0,12+,0,0,Role Playing,0,1, 4.12 ,3.7
0,1,0,0,0,everyone,0,0,Puzzle,0,0, 0.30 ,4.2
1,1,0,0,0,everyone,0,0,Trivia,0,0, 0.26 ,4.5
1,1,0,0,0,everyone,0,0,Action,0,1, 7.94 ,4
1,1,0,0,0,everyone,0,0,Racing,0,1, 8.87 ,4.1
1,1,0,0,0,everyone,0,0,Puzzle,1,1, 5.67 ,4.6
1,1,0,0,0,everyone,0,0,Word,0,1, 0.04 ,4.5
1,1,0,0,0,everyone,0,0,Card,0,1, 0.43 ,4.5
1,1,0,0,0,everyone,0,0,Music,0,1, 28.56 ,4.1
1,1,0,0,0,everyone,0,0,Arcade,1,0, 42.06 ,4.4
1,1,0,0,0,everyone,0,0,Educational,0,1, 0.50 ,4.5
0,1,0,0,0,everyone,0,0,Strategy,0,0, 3.30 ,4.3
1,1,0,0,0,12+,0,0,Simulation,1,1, 2.23 ,4.6
1,1,0,0,0,everyone,0,0,Simulation,1,1, 5.62 ,4.6
1,1,0,0,0,everyone,0,0,Arcade,0,0, 0.42 ,4.4
1,1,0,0,0,everyone,0,0,Simulation,0,1, 1.26 ,4.3
1,1,0,0,0,everyone,0,0,Arcade,0,1, 1.50 ,4
1,1,0,0,0,everyone,0,0,Simulation,0,1, 0.52 ,4.2
