appname,fancyname,company,purchases,ads,sharesinfo,shareslocation,unrestrictedinternet,usersinteract,game,age_rating,Parentalguidance,Downloads,categorygame,low_price_item,top_price_item,price,paidapp,rating,numberreviews,cleaned_numberReviews,Released,Last Updated,CompanyIsExperienced
com.squareenixmontreal.hitmansniperandroid,Hitman Sniper,square enix ltd,1.0,1.0,1.0,0.0,0.0,0.0,1,18+,0.0,10000000.0,action,0.99,54.99,0.99,1.0,4.5,"733,331",733331,"Jun 3, 2015","Aug 24, 2020",True
com.ape.games.mycolony,My Colony,brandon stecklein,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,1000000.0,simulation,5.49,5.49,free,0.0,4.1,"45,959",45959,"May 16, 2016","Nov 21, 2020",True
com.AandBDevelopment.GoldRush,Gold Rush Sim - Klondike Yukon gold rush simulator,a&b development,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,100000.0,simulation,1.99,7.99,free,0.0,3.9,"3,565",3565,"Feb 17, 2018","Nov 26, 2020",False
com.androbaby.game2048,2048,androbaby,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,10000000.0,puzzle,1.19,1.19,free,0.0,4.7,"234,639",234639,"Nov 18, 2015","Oct 03, 2019",True
com.escape.room.door.word.prison.puzzle.adventure,Escape Room: Mystery Word,worzzle team,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,10000000.0,word,1.09,109.99,free,0.0,4.3,"124,644",124644,"Oct 22, 2018","Apr 20, 2020",True
com.sgs.emhq.android,EMERGENCY HQ - free rescue strategy game,promotion software gmbh,1.0,1.0,0.0,0.0,0.0,1.0,1,7+,0.0,1000000.0,strategy,4.99,99.99,free,0.0,4.4,"81,298",81298,"Dec 27, 2017","Nov 03, 2020",False
smartowlapps.com.quiz360,TRIVIA 360,smart owl apps,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,5000000.0,trivia,3.99,3.99,free,0.0,4.5,"89,26",8926,"Jun 3, 2016","Oct 16, 2020",False
ca.lbcstudios.hempire,Hempire - Plant Growing Game,lbc studios inc.,1.0,1.0,0.0,0.0,0.0,0.0,1,18+,0.0,5000000.0,simulation,1.99,79.99,free,0.0,4.7,"203,66",20366,"Apr 5, 2017","Nov 18, 2020",False
bubbleshooter.orig,Bubble Shooter,bubble shooter,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,100000000.0,casual,0.99,109.99,free,0.0,4.2,"629,834",629834,"Feb 27, 2013","Nov 15, 2020",True
com.nianticlabs.pokemongo,Pok?mon GO,"niantic, inc.",1.0,0.0,1.0,1.0,0.0,1.0,1,everyone,0.0,100000000.0,adventure,0.99,109.99,free,0.0,4.2,"12,326,476",12326476,"Jul 6, 2016","Nov 25, 2020",True
