purchases,ads,sharesinfo,shareslocation,usersinteract,age_rating,Parentalguidance,paidapp,Category2,Editors Choice,CompanyIsExperienced,Install per Avg,Rating3,install_scaled,rating_scaled,predictor
1,1,0,0,0,everyone,0,0,Word,0,1,0.04,4.5,-0.3667629,0.938623539,-0.344252291
1,1,0,0,0,everyone,0,0,Card,0,1,0.43,4.5,-0.217764183,0.938623539,-0.204398588
1,1,0,0,0,everyone,0,0,Music,0,1,28.56,4.1,10.52924585,-0.156672227,-1.649640395
1,1,0,0,0,everyone,0,0,Arcade,1,0,42.06,4.4,15.68689375,0.664799597,10.42864065
1,1,0,0,0,everyone,0,0,Educational,0,1,0.5,4.5,-0.191020824,0.938623539,-0.179296641
0,1,0,0,0,everyone,0,0,Strategy,0,0,3.3,4.3,0.878713556,0.390975656,0.343555609
1,1,0,0,0,12+,0,0,Simulation,1,1,2.23,4.6,0.469922204,1.21244748,0.569755992
1,1,0,0,0,everyone,0,0,Simulation,1,1,5.62,4.6,1.765064899,1.21244748,2.140048489
1,1,0,0,0,everyone,0,0,Arcade,0,0,0.42,4.4,-0.221584663,0.664799597,-0.147309395
1,1,0,0,0,everyone,0,0,Simulation,0,1,1.26,4.3,0.099335651,0.390975656,0.038837821
1,1,0,0,0,everyone,0,0,Arcade,0,1,1.5,4,0.191027169,-0.430496168,-0.082236464
1,1,0,0,0,everyone,0,0,Simulation,0,1,0.52,4.2,-0.183379864,0.117151715,-0.021483265
1,1,0,0,0,everyone,0,0,Arcade,0,0,0.17,4.6,-0.317096661,1.21244748,-0.384463048
1,1,0,0,0,everyone,0,0,Card,0,1,4.69,4.5,1.409760265,0.938623539,1.323234169
1,1,0,0,0,12+,0,0,Arcade,0,1,0.53,3.7,-0.179559384,-1.251967993,0.224802601
1,1,0,0,0,everyone,0,0,Puzzle,0,1,0.23,3.9,-0.294173782,-0.70432011,0.20719251
1,1,0,0,0,everyone,0,0,Simulation,0,1,0.97,4.6,-0.011458267,1.21244748,-0.013892547
1,0,1,0,1,7+,0,0,Strategy,0,1,2.03,4.3,0.393512605,0.390975656,0.153853849
1,1,0,0,1,everyone,0,0,Casual,1,1,25.22,4.3,9.253205554,0.390975656,3.617778111
1,1,0,0,0,everyone,0,0,Action,0,1,28.97,4.1,10.68588553,-0.156672227,-1.674181482
1,0,1,0,0,everyone,0,0,Puzzle,0,1,4.19,4.6,1.218736269,1.21244748,1.477653718
1,1,0,0,0,everyone,0,0,Arcade,0,1,0.58,4.1,-0.160456984,-0.156672227,0.025139153
1,1,0,0,0,everyone,0,0,Arcade,0,1,15.25,4,5.444187068,-0.430496168,-2.343701672
1,1,0,0,0,everyone,0,0,Sports,1,0,2.83,4.3,0.699150999,0.390975656,0.27335102
1,1,0,0,1,7+,0,0,Simulation,1,1,5.12,4.4,1.574040902,0.664799597,1.046421758
1,1,0,0,0,everyone,0,0,Arcade,0,1,2.77,4.1,0.67622812,-0.156672227,-0.105946165
1,0,0,0,0,everyone,0,1,Simulation,0,0,0.02,3.7,-0.37440386,-1.251967993,0.468741649
1,0,1,0,1,12+,0,0,Strategy,0,1,4.04,4.4,1.16142907,0.664799597,0.772117578
1,1,0,0,0,everyone,0,0,Casual,0,1,0.53,4.4,-0.179559384,0.664799597,-0.119371006
0,0,0,0,0,everyone,0,0,Board,0,0,0.04,3.8,-0.3667629,-0.978144051,0.358746949
0,1,0,0,0,everyone,0,0,Casual,0,0,0.65,4.4,-0.133713625,0.664799597,-0.088892764
1,0,0,0,0,7+,0,1,Board,1,1,0.06,4.4,-0.35912194,0.664799597,-0.238744121
0,0,0,0,0,everyone,0,0,Puzzle,0,0,0.05,4.4,-0.36294242,0.664799597,-0.241283975
1,1,0,0,0,everyone,0,0,Arcade,0,1,1.61,3.8,0.233052448,-0.978144051,-0.227958866
1,1,0,0,0,everyone,0,0,Arcade,0,1,0.61,4.5,-0.148995544,0.938623539,-0.139850725
1,1,0,0,0,everyone,0,0,Puzzle,0,0,2.4,3.9,0.534870362,-0.70432011,-0.376719952
1,1,0,0,0,7+,0,0,Action,1,1,22.04,4.2,8.038292938,0.117151715,0.941699799
1,1,0,0,0,everyone,0,0,Casual,0,0,20.15,4.3,7.316222232,0.390975656,2.860464786
1,1,0,0,0,7+,0,0,Arcade,1,1,6.84,4.5,2.23116345,0.938623539,2.094222533
1,1,0,0,0,7+,0,0,Arcade,0,0,10.22,4.4,3.522485665,0.664799597,2.341747051
1,1,0,0,1,everyone,0,0,Casual,0,1,23.89,4.4,8.745081724,0.664799597,5.813726809
1,1,0,0,0,7+,0,0,Arcade,0,1,8.14,4.6,2.72782584,1.21244748,3.307345566
1,1,0,0,1,12+,0,0,Simulation,1,1,5.21,4.1,1.608425222,-0.156672227,-0.251995561
