Purchases,Ads,SharesInfo,SharesLocation,UsersInteract,AgeRating,Category,PaidApp,Rating,EditorsChoice,RelativeDownloadsPerformance,CompanyIsExperienced,PC1,Cluster
1,1,0,0,0,3,12,0,4.5,0,0.23039002,1,0.3190154212271103,2
1,1,0,0,0,0,9,0,4.4,0,0.80129993,0,0.2874701434174219,2
1,1,0,0,0,1,3,0,4.3,0,1.11561985,1,0.18679829086233318,2
1,1,0,0,0,0,9,0,4.4,0,0.0815349,1,0.09356199000341245,1
1,1,0,0,0,3,2,0,4.4,0,7.92961839,1,2.207873347120713,2
1,1,0,0,0,0,9,0,4.1,0,1.19991177,0,-0.16119535635736268,1
1,1,0,0,0,0,4,0,4.3,0,2.37922675,1,0.5272200540872023,2
1,1,0,0,0,3,5,0,4.6,0,3.48692237,1,1.3816920127314118,2
1,1,0,1,1,0,12,0,4.4,1,3.18446952,1,0.9295074683890475,2
0,1,0,0,0,3,3,0,4.5,0,0.09453115,1,0.2824143896284872,2
1,1,0,0,0,0,2,0,4.2,0,0.02181307,1,-0.2932296526242108,1
1,1,0,0,0,0,3,0,4.6,0,0.08378675,1,0.46487094420625735,2
0,1,0,0,0,3,6,0,4.3,0,6.78718489,0,1.714745131894402,2
1,1,0,0,0,0,3,0,4.5,0,0.88787274,1,0.4961444214187704,2
0,1,0,0,0,0,9,0,3.8,0,0.12836353,1,-1.0059290373492744,3
1,1,0,0,0,2,0,0,4.7,0,0.0644687,1,0.6450177163269435,2
1,1,0,0,0,0,2,0,4.0,0,4.81640479,1,0.6277540721803744,2
1,0,1,0,1,0,6,0,4.6,0,29.21203943,1,8.312162009952353,0
1,0,0,0,1,0,15,0,3.3,0,0.5055985,0,-1.8310558635006478,3
1,1,0,0,0,0,9,0,4.4,0,5.39449535,1,1.5248990334565575,2
1,1,0,0,0,0,3,0,4.4,0,0.60242786,0,0.2338930533227258,2
1,1,0,0,0,0,9,0,4.3,0,4.73422142,1,1.1616669203923553,2
0,1,0,0,0,0,15,0,4.4,0,0.21409342,0,0.12927389147283233,1
0,1,0,0,0,0,9,0,4.5,0,1.13232064,0,0.5619998588452488,2
0,1,0,0,0,0,9,0,4.5,0,3.69426365,1,1.2521996011431331,2
1,1,0,0,0,0,4,0,4.6,0,0.25655867,1,0.51141652862982,2
0,1,0,0,0,0,15,0,4.5,0,0.03350459,1,0.2659735414827954,2
1,1,0,0,0,0,7,0,4.3,0,0.08115851,1,-0.09189055877180612,1
1,1,0,0,0,3,12,0,4.1,0,4.12046589,1,0.6256159400387366,2
